XML,JAVA
def://ExoPlayer/library/ui/src/main/res/layout/exo_track_selection_dialog.xml//ScrollView/com.google.android.exoplayer2.ui.TrackSelectionView/android:id//@+id\/exo_track_selection_view,use://ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/TrackSelectionDialogBuilder.java//R.id.exo_track_selection_view
def://ExoPlayer/library/ui/src/main/res/layout/exo_track_selection_dialog.xml//ScrollView/com.google.android.exoplayer2.ui.TrackSelectionView/android:id//@+id\/exo_track_selection_view,use://ExoPlayer/demos/main/src/main/java/com/google/android/exoplayer2/demo/TrackSelectionDialog.java//R.id.exo_track_selection_view
def://ExoPlayer/library/ui/src/main/res/layout/exo_styled_sub_settings_list_item.xml//LinearLayout/ImageView/android:id//@+id\/exo_check,use://ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_check
def://ExoPlayer/library/ui/src/main/res/layout/exo_styled_sub_settings_list_item.xml//LinearLayout/TextView/android:id//@+id\/exo_text,use://ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_text
def://ExoPlayer/library/ui/src/main/res/layout/exo_styled_sub_settings_list_item.xml//LinearLayout/TextView/android:id//@+id\/exo_text,use://ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_text
def://ExoPlayer/library/ui/src/main/res/layout/exo_styled_settings_list_item.xml//LinearLayout/ImageView/android:id//@+id\/exo_icon,use://ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_icon
def://ExoPlayer/library/ui/src/main/res/layout/exo_styled_settings_list_item.xml//LinearLayout/LinearLayout/TextView/android:id//@+id\/exo_main_text,use://ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_main_text
def://ExoPlayer/library/ui/src/main/res/layout/exo_styled_settings_list_item.xml//LinearLayout/LinearLayout/TextView/android:id//@+id\/exo_sub_text,use://ExoPlayer/library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_sub_text
def://ExoPlayer/demos/cast/src/main/res/layout/sample_list.xml//LinearLayout/ListView/android:id//@+id\/sample_list,use://ExoPlayer/demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/MainActivity.java//R.id.sample_list
def://ExoPlayer/demos/cast/src/main/res/layout/sample_list.xml//LinearLayout/ListView/android:id//@+id\/sample_list,use://ExoPlayer/demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/MainActivity.java//R.id.sample_list
