def,use
def://demos/surface/src/main/res/layout/main_activity.xml,use://demos/surface/src/main/java/com/google/android/exoplayer2/surfacedemo/MainActivity.java//R.layout.main_activity
def://demos/main/src/main/res/layout/sample_list_item.xml,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/SampleChooserActivity.java//R.layout.sample_list_item
def://demos/surface/src/main/res/layout/main_activity.xml//FrameLayout/LinearLayout/com.google.android.exoplayer2.ui.PlayerControlView/android:id//@+id\/player_control_view,use://demos/surface/src/main/java/com/google/android/exoplayer2/surfacedemo/MainActivity.java//R.id.player_control_view
def://demos/main/src/main/res/layout/player_activity.xml,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/PlayerActivity.java//R.layout.player_activity
def://demos/main/src/main/res/layout/player_activity.xml//FrameLayout/com.google.android.exoplayer2.ui.StyledPlayerView/android:id//@+id\/player_view,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/PlayerActivity.java//R.id.player_view
def://demos/gl/src/main/res/layout/main_activity.xml//FrameLayout/com.google.android.exoplayer2.ui.PlayerView/android:id//@+id\/player_view,use://demos/gl/src/main/java/com/google/android/exoplayer2/gldemo/MainActivity.java//R.id.player_view
def://demos/gl/src/main/res/layout/main_activity.xml,use://demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/MainActivity.java//R.layout.main_activity
def://demos/surface/src/main/res/layout/main_activity.xml,use://demos/gl/src/main/java/com/google/android/exoplayer2/gldemo/MainActivity.java//R.layout.main_activity
def://demos/main/src/main/res/layout/sample_list_item.xml//LinearLayout/TextView/android:id//@+id\/sample_title,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/SampleChooserActivity.java//R.id.sample_title
def://demos/main/src/main/res/layout/track_selection_dialog.xml//LinearLayout/androidx.viewpager.widget.ViewPager/android:id//@+id\/track_selection_dialog_view_pager,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/TrackSelectionDialog.java//R.id.track_selection_dialog_view_pager
def://library/ui/src/main/res/layout/exo_styled_settings_list_item.xml//LinearLayout/ImageView/android:id//@+id\/exo_icon,use://library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_icon
def://library/ui/src/main/res/layout/exo_styled_settings_list_item.xml//LinearLayout/LinearLayout/TextView/android:id//@+id\/exo_main_text,use://library/ui/src/main/java/com/google/android/exoplayer2/ui/StyledPlayerControlView.java//R.id.exo_main_text
def://demos/gl/src/main/res/layout/main_activity.xml,use://demos/surface/src/main/java/com/google/android/exoplayer2/surfacedemo/MainActivity.java//R.layout.main_activity
def://demos/main/src/main/res/layout/sample_chooser_activity.xml//LinearLayout/ExpandableListView/android:id//@+id\/sample_list,use://demos/main/src/main/java/com/google/android/exoplayer2/demo/SampleChooserActivity.java//R.id.sample_list
