def,use
def://gsyVideoPlayer-java/src/main/res/layout/video_layout_standard.xml[language=FILE]//RelativeLayout/LinearLayout/ImageView/android:id[language=XML]//@+id\\/fullscreen[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/onTouch/R.id.fullscreen[language=JAVA]
def://app/src/main/res/layout/activity_detail_download_player.xml[language=FILE]//RelativeLayout/com.example.gsyvideoplayer.video.LandLayoutVideo/android:id[language=XML]//@+id\\/detail_player[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/DetailDownloadPlayer.java[language=FILE]//DetailDownloadPlayer/getCurPlay/binding.detailPlayer[language=JAVA]
def://app/src/main/res/layout/video_layout_preview.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/current[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.current[language=JAVA]
def://app/src/main/res/layout/activity_deatil_list_player.xml[language=FILE]//RelativeLayout/com.shuyu.gsyvideoplayer.video.ListGSYVideoPlayer/android:id[language=XML]//@+id\\/detail_player[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/DetailListPlayer.java[language=FILE]//DetailListPlayer/onCreate/binding.detailPlayer[language=JAVA]
def://gsyVideoPlayer-java/src/main/res/layout/video_layout_custom.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/total[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.total[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//ScrollView/LinearLayout/Button/android:id[language=XML]//@+id\\/clear_cache[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/MainActivity.java[language=FILE]//MainActivity/onClick/R.id.clear_cache[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//ScrollView/LinearLayout/Button/android:id[language=XML]//@+id\\/open_control[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/MainActivity.java[language=FILE]//MainActivity/onCreate/binding.openControl[language=JAVA]
def://app/src/main/res/layout/layout_loading_dialog.xml[language=FILE],use://app/src/main/java/com/example/gsyvideoplayer/view/LoadingDialog.java[language=FILE]//LoadingDialog/init/inflater.inflate/R.layout.layout_loading_dialog[language=JAVA]
def://app/src/main/res/layout/video_layout_subtitle.xml[language=FILE]//RelativeLayout/LinearLayout/SeekBar/android:id[language=XML]//@+id\\/progress[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYVideoControlView.java[language=FILE]//GSYVideoControlView/init/findViewById/R.id.progress[language=JAVA]
def://app/src/main/res/layout/activity_detail_audio_player.xml[language=FILE]//RelativeLayout/com.example.gsyvideoplayer.video.AudioSampleVideo/android:id[language=XML]//@+id\\/detail_player[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/AudioDetailPlayer.java[language=FILE]//AudioDetailPlayer/onCreate/binding.detailPlayer[language=JAVA]
def://app/src/main/res/layout/switch_list_video_item.xml[language=FILE]//RelativeLayout/com.example.gsyvideoplayer.switchplay.SwitchVideo/android:id[language=XML]//@+id\\/video_item_player[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/switchplay/SwitchListVideoAdapter.java[language=FILE]//SwitchListVideoAdapter/getView/convertView.findViewById/R.id.video_item_player[language=JAVA]
def://gsyVideoPlayer-java/src/main/res/layout/video_layout_standard.xml[language=FILE]//RelativeLayout/ImageView/android:id[language=XML]//@+id\\/small_close[language=ANY],use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYBaseVideoPlayer.java[language=FILE]//GSYBaseVideoPlayer/init/findViewById/R.id.small_close[language=JAVA]
def://app/src/main/res/layout/activity_input_url_detail.xml[language=FILE]//RelativeLayout/ImageView/android:id[language=XML]//@+id\\/test_image_view[language=ANY],use://app/src/main/java/com/example/gsyvideoplayer/InputUrlDetailActivity.java[language=FILE]//InputUrlDetailActivity/run/findViewById/R.id.test_image_view[language=JAVA]
