XML,JAVA
def://NewPipe/app/src/main/res/layout-land/activity_player_queue_control.xml//RelativeLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar,use://NewPipe/app/src/main/java/us/shandian/giga/ui/common/ToolbarActivity.java//R.id.toolbar
def://NewPipe/app/src/main/res/layout-land/activity_player_queue_control.xml//RelativeLayout/com.google.android.material.appbar.AppBarLayout/androidx.appcompat.widget.Toolbar/android:id//@+id\/toolbar,use://NewPipe/app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.toolbar
def://NewPipe/app/src/main/res/layout/list_choose_tabs_dialog.xml//RelativeLayout/androidx.appcompat.widget.AppCompatImageView/android:id//@+id\/tabIcon,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/tabs/AddTabDialog.java//R.id.tabIcon
def://NewPipe/app/src/main/res/layout/list_choose_tabs_dialog.xml//RelativeLayout/TextView/android:id//@+id\/tabName,use://NewPipe/app/src/main/java/org/schabi/newpipe/settings/tabs/AddTabDialog.java//R.id.tabName
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalPlaylistStreamItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemDurationView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemDurationView
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemDurationView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalPlaylistStreamItemHolder.java//R.id.itemDurationView
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemHandle,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemHandle
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/ImageView/android:id//@+id\/itemHandle,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalPlaylistStreamItemHolder.java//R.id.itemHandle
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemVideoTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemVideoTitleView
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemVideoTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalPlaylistStreamItemHolder.java//R.id.itemVideoTitleView
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/TextView/android:id//@+id\/itemAdditionalDetails,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalPlaylistStreamItemHolder.java//R.id.itemAdditionalDetails
def://NewPipe/app/src/main/res/layout/list_stream_playlist_item.xml//RelativeLayout/org.schabi.newpipe.views.AnimatedProgressBar/android:id//@+id\/itemProgressView,use://NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/LocalPlaylistStreamItemHolder.java//R.id.itemProgressView
def://NewPipe/app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/android:id//@+id\/itemRoot,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemRoot
def://NewPipe/app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id//@+id\/itemThumbnailView,use://NewPipe/app/src/main/java/org/schabi/newpipe/info_list/holder/ChannelMiniInfoItemHolder.java//R.id.itemThumbnailView
def://NewPipe/app/src/main/res/layout/list_channel_mini_item.xml//RelativeLayout/TextView/android:id//@+id\/itemTitleView,use://NewPipe/app/src/main/java/org/schabi/newpipe/info_list/holder/ChannelMiniInfoItemHolder.java//R.id.itemTitleView
