def,use
def://app/src/main/res/layout/list_stream_grid_item.xml[language=FILE]//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id[language=XML]//@+id\\/itemDurationView[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java[language=FILE]//PlayQueueItemHolder/PlayQueueItemHolder/v.findViewById/R.id.itemDurationView[language=JAVA]
def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/androidx.viewpager.widget.ViewPager/android:id[language=XML]//@+id\\/view_pager[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/updateTabLayoutVisibility/binding.viewPager[language=JAVA]
def://app/src/main/res/layout/select_channel_item.xml[language=FILE]//RelativeLayout/de.hdodenhof.circleimageview.CircleImageView/android:id[language=XML]//@+id\\/itemThumbnailView[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java[language=FILE]//PlayQueueItemHolder/PlayQueueItemHolder/v.findViewById/R.id.itemThumbnailView[language=JAVA]
def://app/src/main/res/layout/statistic_playlist_control.xml[language=FILE]//LinearLayout/RelativeLayout/TextView/android:id[language=XML]//@+id\\/sortButtonText[language=ANY],use://app/src/main/java/org/schabi/newpipe/local/history/StatisticsPlaylistFragment.java[language=FILE]//StatisticsPlaylistFragment/toggleSortMode/headerBinding.sortButtonText[language=JAVA]
def://app/src/main/res/layout-land/activity_player_queue_control.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/live_sync[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/PlayQueueActivity.java[language=FILE]//PlayQueueActivity/buildSeekBar/queueControlBinding.liveSync[language=JAVA]
def://app/src/main/res/layout/play_queue_item.xml[language=FILE]//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id[language=XML]//@+id\\/itemDurationView[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/playqueue/PlayQueueItemHolder.java[language=FILE]//PlayQueueItemHolder/PlayQueueItemHolder/v.findViewById/R.id.itemDurationView[language=JAVA]
def://app/src/main/res/layout-large-land/player.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/androidx.appcompat.widget.AppCompatImageButton/android:id[language=XML]//@+id\\/screenRotationButton[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/initListeners/binding.screenRotationButton[language=JAVA]
def://app/src/main/res/layout/list_stream_grid_item.xml[language=FILE],use://app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamGridItemHolder.java[language=FILE]//LocalStatisticStreamGridItemHolder/LocalStatisticStreamGridItemHolder/super/R.layout.list_stream_grid_item[language=JAVA]
def://app/src/main/res/layout-large-land/player.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/LinearLayout/androidx.appcompat.widget.AppCompatImageButton/android:id[language=XML]//@+id\\/switchMute[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/setupElementsVisibility/binding.switchMute[language=JAVA]
def://app/src/main/res/layout/download_dialog.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/threads_count[language=ANY],use://app/src/main/java/org/schabi/newpipe/download/DownloadDialog.java[language=FILE]//DownloadDialog/onViewCreated/dialogBinding.threadsCount[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//org.schabi.newpipe.views.FocusAwareDrawerLayout/org.schabi.newpipe.views.FocusAwareCoordinator/androidx.fragment.app.FragmentContainerView/android:id[language=XML]//@+id\\/fragment_holder[language=ANY],use://app/src/main/java/org/schabi/newpipe/util/NavigationHelper.java[language=FILE]//NavigationHelper/openPlaylistFragment/.replace/R.id.fragment_holder[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//org.schabi.newpipe.views.FocusAwareDrawerLayout/org.schabi.newpipe.views.FocusAwareCoordinator/androidx.fragment.app.FragmentContainerView/android:id[language=XML]//@+id\\/fragment_holder[language=ANY],use://app/src/main/java/org/schabi/newpipe/util/NavigationHelper.java[language=FILE]//NavigationHelper/openSubscriptionsImportFragment/.replace/R.id.fragment_holder[language=JAVA]
def://app/src/main/res/layout/player.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/RelativeLayout/ImageView/android:id[language=XML]//@+id\\/brightnessImageView[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/getBrightnessImageView/return/binding.brightnessImageView[language=JAVA]
def://app/src/main/res/layout/activity_player_queue_control.xml[language=FILE]//RelativeLayout/RelativeLayout/androidx.appcompat.widget.AppCompatImageButton/android:id[language=XML]//@+id\\/control_forward[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/PlayQueueActivity.java[language=FILE]//PlayQueueActivity/buildControls/queueControlBinding.controlForward[language=JAVA]
def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/FrameLayout/ImageView/android:id[language=XML]//@+id\\/detail_toggle_secondary_controls_view[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/handleResult/binding.detailToggleSecondaryControlsView[language=JAVA]
def://app/src/main/res/layout-land/activity_player_queue_control.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/ProgressBar/android:id[language=XML]//@+id\\/control_progress_bar[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/PlayQueueActivity.java[language=FILE]//PlayQueueActivity/onStateChanged/queueControlBinding.controlProgressBar[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//org.schabi.newpipe.views.FocusAwareDrawerLayout/org.schabi.newpipe.views.FocusAwareCoordinator/androidx.fragment.app.FragmentContainerView/android:id[language=XML]//@+id\\/fragment_player_holder[language=ANY],use://app/src/main/java/org/schabi/newpipe/MainActivity.java[language=FILE]//MainActivity/onBackPressed/BottomSheetBehavior.from/mainBinding.fragmentPlayerHolder[language=JAVA]
def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/android:id[language=XML]//@+id\\/detail_content_root_layout[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/event/CustomBottomSheetBehavior.java[language=FILE]//CustomBottomSheetBehavior/Arrays.asList/R.id.detail_content_root_layout[language=JAVA]
def://app/src/main/res/layout-large-land/player.xml[language=FILE]//RelativeLayout/RelativeLayout/LinearLayout/androidx.appcompat.widget.AppCompatImageButton/android:id[language=XML]//@+id\\/playPauseButton[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/onKeyDown/binding.playPauseButton[language=JAVA]
def://app/src/main/res/layout/playlist_header.xml[language=FILE],"def://app/src/main/java/org/schabi/newpipe/fragments/list/playlist/PlaylistFragment.java[language=FILE]//PlaylistFragment/headerBinding[varType=PlaylistHeaderBinding,language=JAVA]"
def://app/src/main/res/menu/mission.xml[language=FILE]//menu/item/android:id[language=XML]//@+id\\/checksum[language=ANY],use://app/src/main/java/us/shandian/giga/ui/adapter/MissionAdapter.java[language=FILE]//MissionAdapter/ViewHolderItem/ViewHolderItem/menu.findItem/R.id.checksum[language=JAVA]
def://app/src/main/res/layout/dialog_playlists.xml[language=FILE]//RelativeLayout/RelativeLayout/android:id[language=XML]//@+id\\/newPlaylist[language=ANY],use://app/src/main/java/org/schabi/newpipe/local/dialog/PlaylistAppendDialog.java[language=FILE]//PlaylistAppendDialog/onViewCreated/view.findViewById/R.id.newPlaylist[language=JAVA]
def://app/src/main/res/layout/player.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/LinearLayout/android:id[language=XML]//@+id\\/secondaryControls[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/setupElementsVisibility/binding.secondaryControls[language=JAVA]
def://app/src/main/res/layout/activity_player_queue_control.xml[language=FILE]//RelativeLayout/RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/artist_name[language=ANY],use://app/src/main/java/org/schabi/newpipe/player/PlayQueueActivity.java[language=FILE]//PlayQueueActivity/onMetadataUpdate/queueControlBinding.artistName[language=JAVA]
def://app/src/main/res/layout/activity_main.xml[language=FILE]//org.schabi.newpipe.views.FocusAwareDrawerLayout/org.schabi.newpipe.views.FocusAwareCoordinator/androidx.fragment.app.FragmentContainerView/android:id[language=XML]//@+id\\/fragment_player_holder[language=ANY],use://app/src/main/java/org/schabi/newpipe/util/NavigationHelper.java[language=FILE]//NavigationHelper/openVideoDetailFragment/fragmentManager.findFragmentById/R.id.fragment_player_holder[language=JAVA]
def://app/src/main/res/layout-large-land/fragment_video_detail.xml[language=FILE]//FrameLayout/LinearLayout/androidx.fragment.app.FragmentContainerView/android:id[language=XML]//@+id\\/relatedItemsLayout[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/onFullscreenStateChanged/binding.relatedItemsLayout[language=JAVA]
def://app/src/main/res/layout/list_stream_item.xml[language=FILE]//androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id[language=XML]//@+id\\/itemUploaderView[language=ANY],use://app/src/main/java/org/schabi/newpipe/local/holder/LocalStatisticStreamItemHolder.java[language=FILE]//LocalStatisticStreamItemHolder/LocalStatisticStreamItemHolder/itemView.findViewById/R.id.itemUploaderView[language=JAVA]
def://app/src/main/res/layout/player.xml[language=FILE]//RelativeLayout/RelativeLayout/LinearLayout/androidx.appcompat.widget.AppCompatImageButton/android:id[language=XML]//@+id\\/playPauseButton[language=ANY],use://app/src/main/java/com/google/android/material/appbar/FlingBehavior.java[language=FILE]//FlingBehavior/Arrays.asList/R.id.playPauseButton[language=JAVA]
def://app/src/main/res/layout/fragment_channel.xml[language=FILE]//RelativeLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/error_content_not_supported[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/list/channel/ChannelFragment.java[language=FILE]//ChannelFragment/showContentNotSupported/channelBinding.errorContentNotSupported[language=JAVA]
def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/LinearLayout/LinearLayout/TextView/android:id[language=XML]//@+id\\/detail_controls_play_with_kodi[language=ANY],use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java[language=FILE]//VideoDetailFragment/initViews/binding.detailControlsPlayWithKodi[language=JAVA]
def://app/src/main/res/layout-large-land/player.xml[language=FILE]//RelativeLayout/RelativeLayout/RelativeLayout/LinearLayout/org.schabi.newpipe.views.FocusAwareSeekBar/android:id[language=XML]//@+id\\/playbackSeekBar[language=ANY],use://app/src/main/java/com/google/android/material/appbar/FlingBehavior.java[language=FILE]//FlingBehavior/Arrays.asList/R.id.playbackSeekBar[language=JAVA]
