XML,JAVA
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_install.xml//RelativeLayout/TextView/android:id//@+id\/installer_text,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java//R.id.installer_text
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_install.xml//RelativeLayout/TextView/android:id//@+id\/installer_progress_text,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java//R.id.installer_progress_text
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_install.xml//RelativeLayout/ProgressBar/android:id//@+id\/installer_loading,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java//R.id.installer_loading
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_install.xml//RelativeLayout/Button/android:id//@+id\/installer_right_button,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java//R.id.installer_right_button
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_install.xml//RelativeLayout/Button/android:id//@+id\/installer_left_button,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java//R.id.installer_left_button
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_task_manage.xml//RelativeLayout/RelativeLayout/ImageView/android:id//@+id\/item_app_icon,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/TaskManageActivity.java//R.id.item_app_icon
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_task_manage.xml//RelativeLayout/RelativeLayout/TextView/android:id//@+id\/item_app_name,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/TaskManageActivity.java//R.id.item_app_name
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_task_manage.xml//RelativeLayout/RelativeLayout/Button/android:id//@+id\/item_app_button,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/TaskManageActivity.java//R.id.item_app_button
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_plugin_recommend.xml//RelativeLayout/TextView/android:id//@+id\/item_plugin_name,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/RecommendPluginActivity.java//R.id.item_plugin_name
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_plugin_recommend.xml//RelativeLayout/TextView/android:id//@+id\/item_plugin_summary,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/RecommendPluginActivity.java//R.id.item_plugin_summary
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_share.xml//RelativeLayout/LinearLayout/ImageView/android:id//@+id\/item_share_icon,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/sys/ShareBridgeActivity.java//R.id.item_share_icon
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_share.xml//RelativeLayout/LinearLayout/TextView/android:id//@+id\/item_share_name,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/sys/ShareBridgeActivity.java//R.id.item_share_name
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_clone_app.xml//FrameLayout/ImageView/android:id//@+id\/item_app_checked,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/home/adapters/CloneAppListAdapter.java//R.id.item_app_checked
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_clone_app.xml//FrameLayout/LinearLayout/ImageView/android:id//@+id\/item_app_icon,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/home/adapters/CloneAppListAdapter.java//R.id.item_app_icon
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_clone_app.xml//FrameLayout/LinearLayout/LinearLayout/TextView/android:id//@+id\/item_app_name,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/home/adapters/CloneAppListAdapter.java//R.id.item_app_name
def://VirtualXposed/VirtualApp/app/src/main/res/layout/item_clone_app.xml//FrameLayout/io.virtualapp.widgets.LabelView/android:id//@+id\/item_app_clone_count,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/home/adapters/CloneAppListAdapter.java//R.id.item_app_clone_count
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_clone_app.xml//LinearLayout/android.support.v7.widget.Toolbar/android:id//@+id\/clone_app_tool_bar,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/home/ListAppActivity.java//R.id.clone_app_tool_bar
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_clone_app.xml//LinearLayout/android.support.v7.widget.Toolbar/android.support.design.widget.TabLayout/android:id//@+id\/clone_app_tab_layout,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/home/ListAppActivity.java//R.id.clone_app_tab_layout
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_clone_app.xml//LinearLayout/android.support.v4.view.ViewPager/android:id//@+id\/clone_app_view_pager,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/home/ListAppActivity.java//R.id.clone_app_view_pager
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_list.xml//LinearLayout/ListView/android:id//@+id\/list,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/RecommendPluginActivity.java//R.id.list
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_list.xml//LinearLayout/ListView/android:id//@+id\/list,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/AppManageActivity.java//R.id.list
def://VirtualXposed/VirtualApp/app/src/main/res/layout/activity_list.xml//LinearLayout/ListView/android:id//@+id\/list,use://VirtualXposed/VirtualApp/app/src/main/java/io/virtualapp/settings/TaskManageActivity.java//R.id.list
