def,use
def://VirtualApp/app/src/main/res/layout/activity_install.xml,use://VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java//R.layout.activity_install
def://VirtualApp/app/src/main/res/layout/item_task_manage.xml,use://VirtualApp/app/src/main/java/io/virtualapp/settings/TaskManageActivity.java//R.layout.item_task_manage
def://VirtualApp/app/src/main/res/layout/item_plugin_recommend.xml,use://VirtualApp/app/src/main/java/io/virtualapp/settings/RecommendPluginActivity.java//R.layout.item_plugin_recommend
def://VirtualApp/app/src/main/res/layout/item_share.xml,use://VirtualApp/app/src/main/java/io/virtualapp/sys/ShareBridgeActivity.java//R.layout.item_share
def://VirtualApp/app/src/main/res/layout/activity_splash.xml,use://VirtualApp/app/src/main/java/io/virtualapp/splash/SplashActivity.java//R.layout.activity_splash
def://VirtualApp/app/src/main/res/layout/item_clone_app.xml,use://VirtualApp/app/src/main/java/io/virtualapp/home/adapters/CloneAppListAdapter.java//R.layout.item_clone_app
def://VirtualApp/app/src/main/res/layout/activity_clone_app.xml,use://VirtualApp/app/src/main/java/io/virtualapp/home/ListAppActivity.java//R.layout.activity_clone_app
def://VirtualApp/app/src/main/res/layout/activity_list.xml,use://VirtualApp/app/src/main/java/io/virtualapp/settings/RecommendPluginActivity.java//R.layout.activity_list
def://VirtualApp/app/src/main/res/layout/activity_list.xml,use://VirtualApp/app/src/main/java/io/virtualapp/settings/AppManageActivity.java//R.layout.activity_list
def://VirtualApp/app/src/main/res/layout/activity_list.xml,use://VirtualApp/app/src/main/java/io/virtualapp/sys/ShareBridgeActivity.java//R.layout.activity_list
def://VirtualApp/app/src/main/res/layout/activity_list.xml,use://VirtualApp/app/src/main/java/io/virtualapp/settings/TaskManageActivity.java//R.layout.activity_list
def://VirtualApp/app/src/main/res/layout/item_app_manage.xml,use://VirtualApp/app/src/main/java/io/virtualapp/settings/AppManageActivity.java//R.layout.item_app_manage
def://VirtualApp/app/src/main/res/layout/fragment_list_app.xml,use://VirtualApp/app/src/main/java/io/virtualapp/home/ListAppFragment.java//R.layout.fragment_list_app
def://VirtualApp/app/src/main/res/layout/activity_loading.xml,use://VirtualApp/app/src/main/java/io/virtualapp/home/LoadingActivity.java//R.layout.activity_loading
def://VirtualApp/lib/src/main/res/layout/choose_account_row.xml,use://VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseAccountTypeActivity.java//R.layout.choose_account_row
