def,use
def://app/src/main/res/layout/list_sticky_header_download.xml[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadFragment.java[]//getHeaderView/mInflater.inflate/R.layout.list_sticky_header_download[]
def://app/src/main/res/menu/menu_logs.xml[]//menu/item/android:id[]//@+id\/menu_save[],use://app/src/main/java/de/robv/android/xposed/installer/LogsFragment.java[]//onOptionsItemSelected/R.id.menu_save[]
def://app/src/main/res/layout/list_item_module.xml[],use://app/src/main/java/de/robv/android/xposed/installer/ModulesFragment.java[]//ModuleAdapter/super/R.layout.list_item_module[]
def://app/src/main/res/layout/list_item_version.xml[]//android.support.v7.widget.CardView/LinearLayout/LinearLayout/LinearLayout/TextView/android:id[]//@+id\/txtStatus[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsVersionsFragment.java[]//getView/view.findViewById/R.id.txtStatus[]
def://app/src/main/res/menu/menu_download_details.xml[]//menu/item/android:id[]//@+id\/menu_refresh[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[]//onOptionsItemSelected/R.id.menu_refresh[]
def://app/src/main/res/layout/list_item_version.xml[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsVersionsFragment.java[]//VersionsAdapter/super/R.layout.list_item_version[]
def://app/src/main/res/layout/list_item_module.xml[]//android.support.v7.widget.CardView/LinearLayout/LinearLayout/LinearLayout/TextView/android:id[]//@+id\/version_name[],use://app/src/main/java/de/robv/android/xposed/installer/ModulesBookmark.java[]//getView/view.findViewById/R.id.version_name[]
def://app/src/main/res/layout/activity_download_details.xml[]//android.support.design.widget.CoordinatorLayout/View/android:id[]//@+id\/fake_elevation[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[]//onCreate/findViewById/R.id.fake_elevation[]
def://app/src/main/res/layout/activity_welcome.xml[]//android.support.v4.widget.DrawerLayout/FrameLayout/FrameLayout/android:id[]//@+id\/content_frame[],use://app/src/main/java/de/robv/android/xposed/installer/WelcomeActivity.java[]//navigate/transaction.replace/R.id.content_frame[]
def://app/src/main/res/layout/tab_support.xml[],use://app/src/main/java/de/robv/android/xposed/installer/SupportActivity.java[]//onCreateView/inflater.inflate/R.layout.tab_support[]
def://app/src/main/res/layout/xposed_not_active_note.xml[],use://app/src/main/java/de/robv/android/xposed/installer/ModulesFragment.java[]//onActivityCreated/.inflate/R.layout.xposed_not_active_note[]
def://app/src/main/res/layout/activity_download_details_not_found.xml[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[]//onCreate/setContentView/R.layout.activity_download_details_not_found[]
def://app/src/main/res/layout/activity_installation.xml[]//LinearLayout/ScrollView/android.support.v7.widget.CardView/ImageView/android:id[]//@+id\/console_result[],use://app/src/main/java/de/robv/android/xposed/installer/installation/InstallationActivity.java[]//onCreateView/view.findViewById/R.id.console_result[]
def://app/src/main/res/layout/activity_download_details.xml[]//android.support.design.widget.CoordinatorLayout/android.support.v4.view.ViewPager/android:id[]//@+id\/download_pager[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[]//setupTabs/findViewById/R.id.download_pager[]
def://app/src/main/res/layout/download_view.xml[]//merge/LinearLayout/Button/android:id[]//@+id\/btnDownloadCancel[],use://app/src/main/java/de/robv/android/xposed/installer/widget/DownloadView.java[]//DownloadView/findViewById/R.id.btnDownloadCancel[]
def://app/src/main/res/layout/tab_support.xml[]//ScrollView/LinearLayout/android.support.v7.widget.CardView/LinearLayout/LinearLayout/LinearLayout/TextView/android:id[]//@+id\/tab_support_module_description[],use://app/src/main/java/de/robv/android/xposed/installer/SupportActivity.java[]//onCreateView/v.findViewById/R.id.tab_support_module_description[]
def://app/src/main/res/layout/tab_support.xml[]//ScrollView/LinearLayout/android.support.v7.widget.CardView/LinearLayout/LinearLayout/android:id[]//@+id\/installerSupportView[],use://app/src/main/java/de/robv/android/xposed/installer/SupportActivity.java[]//onCreateView/v.findViewById/R.id.installerSupportView[]
def://app/src/main/res/layout/download_view.xml[],use://app/src/main/java/de/robv/android/xposed/installer/widget/DownloadView.java[]//DownloadView/inflater.inflate/R.layout.download_view[]
def://app/src/main/res/layout/download_view.xml[]//merge/LinearLayout/TextView/android:id[]//@+id\/txtInfo[],use://app/src/main/java/de/robv/android/xposed/installer/widget/DownloadView.java[]//DownloadView/findViewById/R.id.txtInfo[]
def://app/src/main/res/menu/menu_logs.xml[]//menu/item/android:id[]//@+id\/menu_send[],use://app/src/main/java/de/robv/android/xposed/installer/LogsFragment.java[]//onOptionsItemSelected/R.id.menu_send[]
def://app/src/main/res/layout/activity_container.xml[]//LinearLayout/FrameLayout/android:id[]//@+id\/container[],use://app/src/main/java/de/robv/android/xposed/installer/ModulesBookmark.java[]//onCreate/.add/R.id.container[]
def://app/src/main/res/layout/list_item_module.xml[]//android.support.v7.widget.CardView/LinearLayout/CheckBox/android:id[]//@+id\/checkbox[],use://app/src/main/java/de/robv/android/xposed/installer/ModulesBookmark.java[]//getView/view.findViewById/R.id.checkbox[]
def://app/src/main/res/layout/status_installer.xml[]//android.support.v4.widget.SwipeRefreshLayout/ScrollView/LinearLayout/android.support.v7.widget.CardView/android.support.v7.widget.SwitchCompat/android:id[]//@+id\/disableSwitch[],use://app/src/main/java/de/robv/android/xposed/installer/installation/StatusInstallerFragment.java[]//onCreateView/v.findViewById/R.id.disableSwitch[]
def://app/src/main/res/layout/download_view.xml[]//merge/LinearLayout/Button/android:id[]//@+id\/btnInstall[],use://app/src/main/java/de/robv/android/xposed/installer/widget/DownloadView.java[]//DownloadView/findViewById/R.id.btnInstall[]
def://app/src/main/res/menu/context_menu_modules.xml[]//menu/item/android:id[]//@+id\/menu_download_updates[],use://app/src/main/java/de/robv/android/xposed/installer/ModulesFragment.java[]//onContextItemSelected/R.id.menu_download_updates[]
def://app/src/main/res/layout/activity_download_details_not_found.xml[]//LinearLayout/Button/android:id[]//@+id\/reload[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[]//onCreate/findViewById/R.id.reload[]
def://app/src/main/res/layout/status_installer.xml[]//android.support.v4.widget.SwipeRefreshLayout/ScrollView/LinearLayout/LinearLayout/LinearLayout/android:id[]//@+id\/zips[],use://app/src/main/java/de/robv/android/xposed/installer/installation/StatusInstallerFragment.java[]//refreshZipViews/view.findViewById/R.id.zips[]
def://app/src/main/res/layout/activity_installation.xml[]//LinearLayout/ScrollView/android.support.v7.widget.CardView/TextView/android:id[]//@+id\/console[],use://app/src/main/java/de/robv/android/xposed/installer/installation/InstallationActivity.java[]//onCreateView/view.findViewById/R.id.console[]
def://app/src/main/res/menu/menu_download.xml[]//menu/item/android:id[]//@+id\/menu_search[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadFragment.java[]//onCreateOptionsMenu/menu.findItem/R.id.menu_search[]
def://app/src/main/res/layout/list_item_version.xml[]//android.support.v7.widget.CardView/LinearLayout/de.robv.android.xposed.installer.widget.DownloadView/android:id[]//@+id\/downloadView[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsVersionsFragment.java[]//getView/view.findViewById/R.id.downloadView[]
def://app/src/main/res/layout/list_item_version.xml[]//android.support.v7.widget.CardView/LinearLayout/TextView/android:id[]//@+id\/txtChanges[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsVersionsFragment.java[]//getView/view.findViewById/R.id.txtChanges[]
def://app/src/main/res/layout/tab_about.xml[]//ScrollView/LinearLayout/android.support.v7.widget.CardView/LinearLayout/LinearLayout/android:id[]//@+id\/developersView[],use://app/src/main/java/de/robv/android/xposed/installer/AboutActivity.java[]//onCreateView/v.findViewById/R.id.developersView[]
def://app/src/main/res/layout/list_item_version.xml[]//android.support.v7.widget.CardView/LinearLayout/LinearLayout/LinearLayout/TextView/android:id[]//@+id\/txtUploadDate[],use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsVersionsFragment.java[]//getView/view.findViewById/R.id.txtUploadDate[]
def://app/src/main/res/menu/menu_installer.xml[]//menu/group/item/android:id[]//@+id\/reboot_recovery[],use://app/src/main/java/de/robv/android/xposed/installer/util/RootUtil.java[]//fromId/R.id.reboot_recovery[]
