JAVA,XML
use://app/src/main/java/org/schabi/newpipe/player/BackgroundPlayer.java//R.id.notificationFForward,def://app/src/main/res/layout/player_notification_expanded.xml//RelativeLayout/RelativeLayout/ImageButton/android:id//@+id\/notificationFForward
use://app/src/main/java/org/schabi/newpipe/player/BackgroundPlayer.java//R.id.notificationFForward,def://app/src/main/res/layout/player_notification.xml//FrameLayout/LinearLayout/ImageButton/android:id//@+id\/notificationFForward
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.brightnessImageView,def://app/src/main/res/layout-large-land/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/ImageView/android:id//@+id\/brightnessImageView
use://app/src/main/java/org/schabi/newpipe/player/MainVideoPlayer.java//R.id.brightnessImageView,def://app/src/main/res/layout/activity_main_player.xml//RelativeLayout/RelativeLayout/RelativeLayout/ImageView/android:id//@+id\/brightnessImageView
use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.detail_controls_popup,def://app/src/main/res/layout-large-land/fragment_video_detail.xml//LinearLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/LinearLayout/LinearLayout/TextView/android:id//@+id\/detail_controls_popup
use://app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java//R.id.detail_controls_popup,def://app/src/main/res/layout/fragment_video_detail.xml//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/LinearLayout/LinearLayout/TextView/android:id//@+id\/detail_controls_popup
use://app/src/main/java/org/schabi/newpipe/player/BackgroundPlayer.java//R.id.notificationFRewind,def://app/src/main/res/layout/player_notification_expanded.xml//RelativeLayout/RelativeLayout/ImageButton/android:id//@+id\/notificationFRewind
use://app/src/main/java/org/schabi/newpipe/player/BackgroundPlayer.java//R.id.notificationFRewind,def://app/src/main/res/layout/player_notification.xml//FrameLayout/LinearLayout/ImageButton/android:id//@+id\/notificationFRewind
use://app/src/main/java/org/schabi/newpipe/fragments/list/channel/ChannelFragment.java//R.id.playlist_control,def://app/src/main/res/layout/playlist_control.xml//LinearLayout/android:id//@+id\/playlist_control
use://app/src/main/java/org/schabi/newpipe/player/ServicePlayerActivity.java//R.id.control_repeat,def://app/src/main/res/layout-land/activity_player_queue_control.xml//RelativeLayout/RelativeLayout/RelativeLayout/ImageButton/android:id//@+id\/control_repeat
