caseID,uri,uriID,newURI
1,def://app/src/main/res/layout/dialog_title.xml[language=FILE]//RelativeLayout/TextView/android:id[language=XML]//@+id\\/itemAdditionalDetails[language=ANY],0,def://app/src/main/res/layout/dialog_title.xml[language=FILE]//RelativeLayout/TextView/android:id[language=XML]//@+id\\/itemAdditionalContent[language=ANY]
2,def://app/src/main/res/layout/drawer_layout.xml[language=FILE]//com.google.android.material.navigation.NavigationView/android:id[language=XML]//@+id\\/navigation[language=ANY],0,def://app/src/main/res/layout/drawer_layout.xml[language=FILE]//com.google.android.material.navigation.NavigationView/android:id[language=XML]//@+id\\/navigation_bar[language=ANY]
3,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/TextView/app:layout_constraintTop_toBottomOf[language=XML]//@+id\\/detail_upload_date_view[language=ANY],0,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/TextView/app:layout_constraintTop_toBottomOf[language=XML]//@+id\\/upload_date_view[language=ANY]
3,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id[language=XML]//@+id\\/detail_upload_date_view[language=ANY],0,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/TextView/android:id[language=XML]//@+id\\/upload_date_view[language=ANY]
4,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/ImageView/android:id[language=XML]//@+id\\/detail_select_description_button[language=ANY],0,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/ImageView/android:id[language=XML]//@+id\\/detailed_select_description_button[language=ANY]
4,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/TextView/app:layout_constraintEnd_toStartOf[language=XML]//@+id\\/detail_select_description_button[language=ANY],0,def://app/src/main/res/layout/fragment_description.xml[language=FILE]//androidx.core.widget.NestedScrollView/androidx.constraintlayout.widget.ConstraintLayout/TextView/app:layout_constraintEnd_toStartOf[language=XML]//@+id\\/detailed_select_description_button[language=ANY]
5,use://app/src/main/java/org/schabi/newpipe/settings/PeertubeInstanceListFragment.java[language=FILE]//PeertubeInstanceListFragment/showAddItemDialog/DialogEditTextBinding[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/settings/PeertubeInstanceListFragment.java[language=FILE]//PeertubeInstanceListFragment/showAddItemDialog/EditTextDialogBinding[language=JAVA]
5,use://app/src/main/java/org/schabi/newpipe/local/bookmark/BookmarkFragment.java[language=FILE]//BookmarkFragment/showLocalDialog/DialogEditTextBinding[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/local/bookmark/BookmarkFragment.java[language=FILE]//BookmarkFragment/showLocalDialog/EditTextDialogBinding[language=JAVA]
5,use://app/src/main/java/org/schabi/newpipe/local/dialog/PlaylistCreationDialog.java[language=FILE]//PlaylistCreationDialog/onCreateDialog/DialogEditTextBinding[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/local/dialog/PlaylistCreationDialog.java[language=FILE]//PlaylistCreationDialog/onCreateDialog/EditTextDialogBinding[language=JAVA]
5,use://app/src/main/java/org/schabi/newpipe/local/playlist/LocalPlaylistFragment.java[language=FILE]//LocalPlaylistFragment/createRenameDialog/DialogEditTextBinding[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/local/playlist/LocalPlaylistFragment.java[language=FILE]//LocalPlaylistFragment/createRenameDialog/EditTextDialogBinding[language=JAVA]
6,def://app/src/main/res/layout/select_channel_fragment.xml[language=FILE]//LinearLayout/TextView/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/select_channel_fragment.xml[language=FILE]//LinearLayout/TextView/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_kiosk.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_kiosk.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_related_items.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_related_items.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_playlist.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_playlist.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_search.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_search.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_feed.xml[language=FILE]//RelativeLayout/include/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_feed.xml[language=FILE]//RelativeLayout/include/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_bookmarks.xml[language=FILE]//RelativeLayout/include/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_bookmarks.xml[language=FILE]//RelativeLayout/include/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_subscription.xml[language=FILE]//RelativeLayout/include/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_subscription.xml[language=FILE]//RelativeLayout/include/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_comments.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_comments.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state[language=ANY]
7,def://app/src/main/res/layout/fragment_channel.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_channel.xml[language=FILE]//RelativeLayout/LinearLayout/android:id[language=XML]//@+id\\/empty_state[language=ANY]
