caseID,uri,uriID,newURI
1,def://VirtualApp/app/src/main/res/layout/item_clone_app.xml[language=FILE]//FrameLayout/ImageView/android:id[language=XML]//@+id\\/item_app_checked[language=ANY],0,def://VirtualApp/app/src/main/res/layout/item_clone_app.xml[language=FILE]//FrameLayout/ImageView/android:id[language=XML]//@+id\\/item_app_checked_box[language=ANY]
2,def://VirtualApp/app/src/main/res/layout/item_app_manage.xml[language=FILE]//RelativeLayout/RelativeLayout/TextView/android:layout_toRightOf[language=XML]//@+id\\/item_app_icon[language=ANY],0,def://VirtualApp/app/src/main/res/layout/item_app_manage.xml[language=FILE]//RelativeLayout/RelativeLayout/TextView/android:layout_toRightOf[language=XML]//@+id\\/app_icon[language=ANY]
2,def://VirtualApp/app/src/main/res/layout/item_app_manage.xml[language=FILE]//RelativeLayout/RelativeLayout/ImageView/android:id[language=XML]//@+id\\/item_app_icon[language=ANY],0,def://VirtualApp/app/src/main/res/layout/item_app_manage.xml[language=FILE]//RelativeLayout/RelativeLayout/ImageView/android:id[language=XML]//@+id\\/app_icon[language=ANY]
3,use://VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java[language=FILE]//InstallerActivity/onCreate/findViewById/R.id.installer_text[language=JAVA],0,use://VirtualApp/app/src/main/java/io/virtualapp/sys/InstallerActivity.java[language=FILE]//InstallerActivity/onCreate/findViewById/R.id.installer_text_content[language=JAVA]
4,use://VirtualApp/app/src/main/java/io/virtualapp/settings/RecommendPluginActivity.java[language=FILE]//RecommendPluginActivity/ViewHolder/ViewHolder/.inflate/R.layout.item_plugin_recommend[language=JAVA],0,use://VirtualApp/app/src/main/java/io/virtualapp/settings/RecommendPluginActivity.java[language=FILE]//RecommendPluginActivity/ViewHolder/ViewHolder/.inflate/R.layout.item_plugin_recommender[language=JAVA]
5,def://VirtualApp/app/src/main/res/layout/item_plugin_recommend.xml[language=FILE]//RelativeLayout/TextView/android:id[language=XML]//@+id\\/item_plugin_summary[language=ANY],0,def://VirtualApp/app/src/main/res/layout/item_plugin_recommend.xml[language=FILE]//RelativeLayout/TextView/android:id[language=XML]//@+id\\/item_plugin_sum[language=ANY]
6,use://VirtualApp/app/src/main/java/io/virtualapp/sys/ShareBridgeActivity.java[language=FILE]//ShareBridgeActivity/ViewHolder/ViewHolder/root.findViewById/R.id.item_share_icon[language=JAVA],0,use://VirtualApp/app/src/main/java/io/virtualapp/sys/ShareBridgeActivity.java[language=FILE]//ShareBridgeActivity/ViewHolder/ViewHolder/root.findViewById/R.id.icon_share[language=JAVA]
7,use://VirtualApp/app/src/main/java/io/virtualapp/settings/AppManageActivity.java[language=FILE]//AppManageActivity/showContextMenu/.findItem/R.id.action_redirect[language=JAVA],0,use://VirtualApp/app/src/main/java/io/virtualapp/settings/AppManageActivity.java[language=FILE]//AppManageActivity/showContextMenu/.findItem/R.id.actionRedirect[language=JAVA]
8,use://VirtualApp/app/src/main/java/io/virtualapp/settings/AppManageActivity.java[language=FILE]//AppManageActivity/showContextMenu/popupMenu.inflate/R.menu.app_manage_menu[language=JAVA],0,use://VirtualApp/app/src/main/java/io/virtualapp/settings/AppManageActivity.java[language=FILE]//AppManageActivity/showContextMenu/popupMenu.inflate/R.menu.menu_app_manage[language=JAVA]
9,use://VirtualApp/app/src/main/java/io/virtualapp/home/ListAppFragment.java[language=FILE]//ListAppFragment/onViewCreated/view.findViewById/R.id.select_app_install_btn[language=JAVA],0,use://VirtualApp/app/src/main/java/io/virtualapp/home/ListAppFragment.java[language=FILE]//ListAppFragment/onViewCreated/view.findViewById/R.id.select_app_install_button[language=JAVA]
