caseID,uri,uriID,newURI
1,def://app/src/main/res/layout/activity_detail_audio_player.xml[language=FILE]//RelativeLayout/com.example.gsyvideoplayer.video.AudioSampleVideo/android:id[language=XML]//@+id\\/detail_player[language=ANY],0,def://app/src/main/res/layout/activity_detail_audio_player.xml[language=FILE]//RelativeLayout/com.example.gsyvideoplayer.video.AudioSampleVideo/android:id[language=XML]//@+id\\/detail_video_player[language=ANY]
2,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/StandardGSYVideoPlayer.java[language=FILE]//StandardGSYVideoPlayer/getVolumeProgressId/return/R.id.volume_progressbar[language=JAVA],0,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/StandardGSYVideoPlayer.java[language=FILE]//StandardGSYVideoPlayer/getVolumeProgressId/return/R.id.volume_progress_bar[language=JAVA]
3,def://gsyVideoPlayer-java/src/main/res/layout/video_brightness.xml[language=FILE]//LinearLayout/RelativeLayout/TextView/android:id[language=XML]//@+id\\/app_video_brightness[language=ANY],0,def://gsyVideoPlayer-java/src/main/res/layout/video_brightness.xml[language=FILE]//LinearLayout/RelativeLayout/TextView/android:id[language=XML]//@+id\\/app_video_bright[language=ANY]
4,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/GSYSampleADVideoPlayer.java[language=FILE]//GSYSampleADVideoPlayer/init/findViewById/R.id.ad_time[language=JAVA],0,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/GSYSampleADVideoPlayer.java[language=FILE]//GSYSampleADVideoPlayer/init/findViewById/R.id.ad_timer[language=JAVA]
5,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYBaseVideoPlayer.java[language=FILE]//GSYBaseVideoPlayer/init/findViewById/R.id.small_close[language=JAVA],0,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/base/GSYBaseVideoPlayer.java[language=FILE]//GSYBaseVideoPlayer/init/findViewById/R.id.close_small[language=JAVA]
6,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/StandardGSYVideoPlayer.java[language=FILE]//StandardGSYVideoPlayer/getProgressDialogProgressId/return/R.id.duration_progressbar[language=JAVA],0,use://gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/video/StandardGSYVideoPlayer.java[language=FILE]//StandardGSYVideoPlayer/getProgressDialogProgressId/return/R.id.duration_progress_bar[language=JAVA]
7,def://gsyVideoPlayer-java/src/main/res/layout/video_progress_dialog.xml[language=FILE]//RelativeLayout/RelativeLayout/LinearLayout/ProgressBar/android:id[language=XML]//@+id\\/duration_progressbar[language=ANY],0,def://gsyVideoPlayer-java/src/main/res/layout/video_progress_dialog.xml[language=FILE]//RelativeLayout/RelativeLayout/LinearLayout/ProgressBar/android:id[language=XML]//@+id\\/duration_progress_bar[language=ANY]
8,def://app/src/main/res/layout/danmaku_layout.xml[language=FILE]//RelativeLayout/LinearLayout/LinearLayout/ImageView/android:id[language=XML]//@+id\\/fullscreen[language=ANY],0,def://app/src/main/res/layout/danmaku_layout.xml[language=FILE]//RelativeLayout/LinearLayout/LinearLayout/ImageView/android:id[language=XML]//@+id\\/fullscreenHelper[language=ANY]
9,def://gsyVideoPlayer-java/src/main/res/layout/video_layout_custom.xml[language=FILE]//RelativeLayout/LinearLayout/ImageView/android:id[language=XML]//@+id\\/fullscreen[language=ANY],0,def://gsyVideoPlayer-java/src/main/res/layout/video_layout_custom.xml[language=FILE]//RelativeLayout/LinearLayout/ImageView/android:id[language=XML]//@+id\\/fullscreen_helper[language=ANY]
10,def://app/src/main/res/layout/switch_video.xml[language=FILE]//RelativeLayout/ProgressBar/android:id[language=XML]//@+id\\/bottom_progressbar[language=ANY],0,def://app/src/main/res/layout/switch_video.xml[language=FILE]//RelativeLayout/ProgressBar/android:id[language=XML]//@+id\\/progressbar_in_bottom[language=ANY]
