caseID,uri,uriID,newURI
1,def://app/src/main/res/layout-v23/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:id[language=XML]//@android:id\\/text2[language=ANY],0,def://app/src/main/res/layout-v23/list_item_download.xml[language=FILE]//FrameLayout/RelativeLayout/TextView/android:id[language=XML]//@android:id\\/text3[language=ANY]
2,use://app/src/main/java/de/robv/android/xposed/installer/DownloadFragment.java[language=FILE]//DownloadFragment/DownloadsAdapter/bindView/view.findViewById/R.id.downloadStatus[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/DownloadFragment.java[language=FILE]//DownloadFragment/DownloadsAdapter/bindView/view.findViewById/R.id.downloadingStatus[language=JAVA]
3,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[language=FILE]//DownloadDetailsActivity/onCreateOptionsMenu/menu.findItem/R.id.menu_share[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[language=FILE]//DownloadDetailsActivity/onCreateOptionsMenu/menu.findItem/R.id.item_menu_share[language=JAVA]
4,use://app/src/main/java/de/robv/android/xposed/installer/WelcomeActivity.java[language=FILE]//WelcomeActivity/onCreate/findViewById/R.id.toolbar[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/WelcomeActivity.java[language=FILE]//WelcomeActivity/onCreate/findViewById/R.id.item_toolBar[language=JAVA]
5,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[language=FILE]//DownloadDetailsActivity/onCreate/findViewById/R.id.toolbar[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsActivity.java[language=FILE]//DownloadDetailsActivity/onCreate/findViewById/R.id.tool_bar[language=JAVA]
6,def://app/src/main/res/layout/activity_download_details.xml[language=FILE]//android.support.design.widget.CoordinatorLayout/android.support.design.widget.AppBarLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/toolbar[language=ANY],0,def://app/src/main/res/layout/activity_download_details.xml[language=FILE]//android.support.design.widget.CoordinatorLayout/android.support.design.widget.AppBarLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/toolBar[language=ANY]
7,use://app/src/main/java/de/robv/android/xposed/installer/SettingsActivity.java[language=FILE]//SettingsActivity/onCreate/.add/R.id.container[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/SettingsActivity.java[language=FILE]//SettingsActivity/onCreate/.add/R.id.item_container[language=JAVA]
8,def://app/src/main/res/layout/toolbar.xml[language=FILE]//LinearLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/toolbar[language=ANY],0,def://app/src/main/res/layout/toolbar.xml[language=FILE]//LinearLayout/android.support.v7.widget.Toolbar/android:id[language=XML]//@+id\\/toolBar[language=ANY]
9,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsVersionsFragment.java[language=FILE]//DownloadDetailsVersionsFragment/VersionsAdapter/getView/view.findViewById/R.id.txtUploadDate[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/DownloadDetailsVersionsFragment.java[language=FILE]//DownloadDetailsVersionsFragment/VersionsAdapter/getView/view.findViewById/R.id.upload[language=JAVA]
10,def://app/src/main/res/layout/list_item_version.xml[language=FILE],0,def://app/src/main/res/layout/list_version.xml[language=FILE]
11,def://app/src/main/res/layout/tab_logs.xml[language=FILE]//RelativeLayout/ScrollView/HorizontalScrollView/android:id[language=XML]//@+id\\/hsvLog[language=ANY],0,def://app/src/main/res/layout/tab_logs.xml[language=FILE]//RelativeLayout/ScrollView/HorizontalScrollView/android:id[language=XML]//@+id\\/hoasvLog[language=ANY]
12,use://app/src/main/java/de/robv/android/xposed/installer/SupportActivity.java[language=FILE]//SupportActivity/SupportFragment/onCreateView/v.findViewById/R.id.installerSupportView[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/SupportActivity.java[language=FILE]//SupportActivity/SupportFragment/onCreateView/v.findViewById/R.id.installerSupportContainer[language=JAVA]
13,use://app/src/main/java/de/robv/android/xposed/installer/ModulesBookmark.java[language=FILE]//ModulesBookmark/BookmarkModuleAdapter/getView/view.findViewById/R.id.icon[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/ModulesBookmark.java[language=FILE]//ModulesBookmark/BookmarkModuleAdapter/getView/view.findViewById/R.id.icons[language=JAVA]
14,use://app/src/main/java/de/robv/android/xposed/installer/widget/IconListPreference.java[language=FILE]//IconListPreference/AppArrayAdapter/getView/view.findViewById/R.id.icon[language=JAVA],0,use://app/src/main/java/de/robv/android/xposed/installer/widget/IconListPreference.java[language=FILE]//IconListPreference/AppArrayAdapter/getView/view.findViewById/R.id.avatar[language=JAVA]
