caseID,uri,uriID,newURI
1,use://app/src/main/java/com/example/jingbin/cloudreader/ui/film/child/FilmDetailActivity.java[language=FILE]//FilmDetailActivity/setHeaderLayout/return/R.layout.header_film_detail[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/ui/film/child/FilmDetailActivity.java[language=FILE]//FilmDetailActivity/setHeaderLayout/return/R.layout.header_film_details[language=JAVA]
2,def://app/src/main/res/layout/item_banner_wanandroid.xml[language=FILE]//RelativeLayout/ImageView/android:id[language=XML]//@+id\\/iv_banner[language=ANY],0,def://app/src/main/res/layout/item_banner_wanandroid.xml[language=FILE]//RelativeLayout/ImageView/android:id[language=XML]//@+id\\/iv_ban[language=ANY]
3,use://app/src/main/java/com/example/jingbin/cloudreader/view/viewbigimage/ViewBigImageActivity.java[language=FILE]//ViewBigImageActivity/onCreate/setContentView/R.layout.activity_view_big_image[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/view/viewbigimage/ViewBigImageActivity.java[language=FILE]//ViewBigImageActivity/onCreate/setContentView/R.layout.activity_view_image[language=JAVA]
3,use://app/src/main/java/com/example/jingbin/cloudreader/view/bigimage/BigImagePagerActivity.java[language=FILE]//BigImagePagerActivity/onCreate/setContentView/R.layout.activity_view_big_image[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/view/bigimage/BigImagePagerActivity.java[language=FILE]//BigImagePagerActivity/onCreate/setContentView/R.layout.activity_view_image[language=JAVA]
4,def://app/src/main/res/layout/activity_view_big_image.xml[language=FILE]//RelativeLayout/com.example.jingbin.cloudreader.view.viewbigimage.HackyViewPager/android:id[language=XML]//@+id\\/very_image_viewpager[language=ANY],0,def://app/src/main/res/layout/activity_view_big_image.xml[language=FILE]//RelativeLayout/com.example.jingbin.cloudreader.view.viewbigimage.HackyViewPager/android:id[language=XML]//@+id\\/very_viewpager[language=ANY]
5,use://app/src/main/java/com/example/jingbin/cloudreader/view/viewbigimage/ViewBigImageActivity.java[language=FILE]//ViewBigImageActivity/initView/findViewById/R.id.very_image_viewpager_text[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/view/viewbigimage/ViewBigImageActivity.java[language=FILE]//ViewBigImageActivity/initView/findViewById/R.id.very_image_viewpager_line[language=JAVA]
6,def://app/src/main/res/layout/activity_web_view.xml[language=FILE]//LinearLayout/androidx.appcompat.widget.Toolbar/TextView/android:id[language=XML]//@+id\\/tv_gun_title[language=ANY],0,def://app/src/main/res/layout/activity_web_view.xml[language=FILE]//LinearLayout/androidx.appcompat.widget.Toolbar/TextView/android:id[language=XML]//@+id\\/tv_guns_title[language=ANY]
7,use://app/src/main/java/com/example/jingbin/cloudreader/ui/WebViewActivity.java[language=FILE]//WebViewActivity/initTitle/findViewById/R.id.title_tool_bar[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/ui/WebViewActivity.java[language=FILE]//WebViewActivity/initTitle/findViewById/R.id.title_toolbar[language=JAVA]
8,def://bymvvm/src/main/res/layout/layout_loading_view.xml[language=FILE]//androidx.constraintlayout.widget.ConstraintLayout/ImageView/android:id[language=XML]//@+id\\/img_progress[language=ANY],0,def://bymvvm/src/main/res/layout/layout_loading_view.xml[language=FILE]//androidx.constraintlayout.widget.ConstraintLayout/ImageView/android:id[language=XML]//@+id\\/img_progress_1[language=ANY]
9,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/CategoryArticleAdapter.java[language=FILE]//CategoryArticleAdapter/bindView/binding.vbCollect[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/CategoryArticleAdapter.java[language=FILE]//CategoryArticleAdapter/bindView/binding.vb_collection[language=JAVA]
9,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/CategoryArticleAdapter.java[language=FILE]//CategoryArticleAdapter/onSuccess/bean.setCollect/binding.vbCollect[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/CategoryArticleAdapter.java[language=FILE]//CategoryArticleAdapter/onSuccess/bean.setCollect/binding.vb_collection[language=JAVA]
9,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/CategoryArticleAdapter.java[language=FILE]//CategoryArticleAdapter/onClick/binding.vbCollect[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/CategoryArticleAdapter.java[language=FILE]//CategoryArticleAdapter/onClick/binding.vb_collection[language=JAVA]
10,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/WanAndroidAdapter.java[language=FILE]//WanAndroidAdapter/onSuccess/bean.setCollect/binding.vbCollect[language=JAVA],0,use://app/src/main/java/com/example/jingbin/cloudreader/adapter/WanAndroidAdapter.java[language=FILE]//WanAndroidAdapter/onSuccess/bean.setCollect/binding.vb_collection[language=JAVA]
