def,use
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/pos[varType=String,language=JAVA]","use://src/main/resources/mapper/AdMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Ad,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{pos\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Notification.java[language=FILE]//Notification/notifier[varType=Long,language=JAVA]","use://src/main/resources/mapper/NotificationMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Notification,language=XML,queryId=updateByPrimaryKey]//Update/#{notifier\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/bio[varType=String,language=JAVA]","use://src/main/resources/mapper/UserMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.User,language=XML,queryId=insertSelective]//Insert/#{bio\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/mapper/CommentMapper.java[language=FILE]//CommentMapper/selectByPrimaryKey/id[varType=Long,language=JAVA]","use://src/main/resources/mapper/CommentMapper.xml[language=FILE]//mapper/select[parameterType=java.lang.Long,resultMap=BaseResultMap,language=XML,queryId=selectByPrimaryKey]//Select/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Comment.java[language=FILE]//Comment/id[varType=Long,language=JAVA]","use://src/main/resources/mapper/CommentMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Comment,language=XML,queryId=insertSelective]//Insert/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/creator[varType=Long,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Question,language=XML,queryId=insertSelective]//Insert/#{creator\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/title[varType=String,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{title\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/avatarUrl[varType=String,language=JAVA]","use://target/classes/mapper/UserMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.User,language=XML,queryId=updateByPrimaryKey]//Update/#{avatarUrl\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Notification.java[language=FILE]//Notification/id[varType=Long,language=JAVA]","use://target/classes/mapper/NotificationMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Notification,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/gmtStart[varType=Long,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insert]//Insert/#{gmtStart\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/viewCount[varType=Integer,language=JAVA]","use://src/main/resources/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKeyWithBLOBs]//Update/#{viewCount\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/gmtCreate[varType=Long,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{gmtCreate\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/creator[varType=Long,language=JAVA]","use://src/main/resources/mapper/QuestionMapper.xml[language=FILE]//mapper/update[parameterType=life.majiang.community.model.Question,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{creator\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Ad.java[language=FILE]//Ad/gmtCreate[varType=Long,language=JAVA]","use://target/classes/mapper/AdMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Ad,language=XML,queryId=insert]//Insert/#{gmtCreate\,jdbcType=BIGINT}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/accountId[varType=String,language=JAVA]","use://src/main/resources/mapper/UserMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.User,language=XML,queryId=insertSelective]//Insert/#{accountId\,jdbcType=VARCHAR}[language=SQL]"
"def://src/main/java/life/majiang/community/model/Question.java[language=FILE]//Question/sticky[varType=Integer,language=JAVA]","use://target/classes/mapper/QuestionMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.Question,language=XML,queryId=insert]//Insert/#{sticky\,jdbcType=INTEGER}[language=SQL]"
"def://src/main/java/life/majiang/community/model/User.java[language=FILE]//User/name[varType=String,language=JAVA]","use://target/classes/mapper/UserMapper.xml[language=FILE]//mapper/insert[parameterType=life.majiang.community.model.User,language=XML,queryId=insertSelective]//Insert/#{name\,jdbcType=VARCHAR}[language=SQL]"
