def,use
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsProductAttribute.java[language=FILE]//PmsProductAttribute/selectType[varType=Integer,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsProductAttributeMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsProductAttribute,language=XML,queryId=updateByPrimaryKeySelective]//Update/#{selectType\,jdbcType=INTEGER}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/OmsCartItem.java[language=FILE]//OmsCartItem/productAttr[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/OmsCartItemMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.OmsCartItem,language=XML,queryId=updateByPrimaryKey]//Update/#{productAttr\,jdbcType=VARCHAR}[language=SQL]"
def://mall-admin/src/main/java/com/macro/mall/dao/UmsRoleDao.java[language=FILE]//UmsRoleDao/getMenuList/adminId/@Param[language=JAVA]//adminId[language=ANY],"use://mall-admin/src/main/resources/dao/UmsRoleDao.xml[language=FILE]//mapper/select[language=XML,resultType=com.macro.mall.model.UmsMenu,queryId=getMenuList]//Select/Where/=/#{adminId}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/CmsSubjectProductRelation.java[language=FILE]//CmsSubjectProductRelation/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/CmsSubjectProductRelationMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.CmsSubjectProductRelation,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/mapper/UmsMemberLoginLogMapper.java[language=FILE]//UmsMemberLoginLogMapper/selectByPrimaryKey/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsMemberLoginLogMapper.xml[language=FILE]//mapper/select[parameterType=java.lang.Long,resultMap=BaseResultMap,language=XML,queryId=selectByPrimaryKey]//Select/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsMemberStatisticsInfo.java[language=FILE]//UmsMemberStatisticsInfo/consumeAmount[varType=BigDecimal,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsMemberStatisticsInfoMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsMemberStatisticsInfo,language=XML,queryId=updateByPrimaryKey]//Update/#{consumeAmount\,jdbcType=DECIMAL}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsProductFullReduction.java[language=FILE]//PmsProductFullReduction/id[varType=Long,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsProductFullReductionMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsProductFullReduction,language=XML,queryId=updateByPrimaryKey]//Update/Where/=/#{id\,jdbcType=BIGINT}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsMember.java[language=FILE]//UmsMember/nickname[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/UmsMemberMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.UmsMember,language=XML,queryId=updateByPrimaryKey]//Update/#{nickname\,jdbcType=VARCHAR}[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/UmsMenu.java[language=FILE]//UmsMenu/id[varType=Long,language=JAVA]","use://mall-admin/src/main/resources/dao/UmsRoleDao.xml[language=FILE]//mapper/select[language=XML,resultType=com.macro.mall.model.UmsMenu,queryId=getMenuListByRoleId]//Select/id[language=SQL]"
"def://mall-mbg/src/main/java/com/macro/mall/model/PmsComment.java[language=FILE]//PmsComment/memberIp[varType=String,language=JAVA]","use://mall-mbg/src/main/resources/com/macro/mall/mapper/PmsCommentMapper.xml[language=FILE]//mapper/update[parameterType=com.macro.mall.model.PmsComment,language=XML,queryId=updateByPrimaryKeyWithBLOBs]//Update/#{memberIp\,jdbcType=VARCHAR}[language=SQL]"
