def,use
def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/PageController.java[language=FILE]//PageController/siteMap/model.addAttribute[language=JAVA]//tagList[language=ANY],use://ForestBlog/src/main/webapp/WEB-INF/view/Home/Page/siteMap.jsp[language=FILE]//html/body/rapid:override/section/main/div/div/div/c:foreach/items[language=HTML]//${tagList}[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Home/Error/500.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/IndexController.java[language=FILE]//IndexController/ServerError/return[language=JAVA]//Home\\/Error\\/500[language=ANY]
def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/IndexController.java[language=FILE]//IndexController/index/model.addAttribute[language=JAVA]//noticeList[language=ANY],use://ForestBlog/src/main/webapp/WEB-INF/view/Home/index.jsp[language=FILE]//html/body/rapid:override/nav/div/div/ul/c:foreach/items[language=HTML]//${noticeList}[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Home/Page/articleListByTag.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/TagController.java[language=FILE]//TagController/getArticleListByTag/return[language=JAVA]//Home\\/Page\\/articleListByTag[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Admin/Comment/edit.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/admin/BackCommentController.java[language=FILE]//BackCommentController/editCommentView/return[language=JAVA]//Admin\\/Comment\\/edit[language=ANY]
def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/ArticleController.java[language=FILE]//ArticleController/getArticleDetailPage/model.addAttribute[language=JAVA]//mostViewArticleList[language=ANY],use://ForestBlog/src/main/webapp/WEB-INF/view/Home/Page/articleDetail.jsp[language=FILE]//html/body/rapid:override/div/main/div/div/aside/div/ul/c:foreach/items[language=HTML]//${mostViewArticleList}[language=ANY]
def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/ArticleController.java[language=FILE]//ArticleController/getArticleDetailPage/model.addAttribute[language=JAVA]//commentList[language=ANY],use://ForestBlog/src/main/webapp/WEB-INF/view/Home/Page/articleDetail.jsp[language=FILE]//html/body/rapid:override/div/main/div/ol/c:foreach/items[language=HTML]//${commentList}[language=ANY]
def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/PageController.java[language=FILE]//PageController/articleFile/model.addAttribute[language=JAVA]//articleList[language=ANY],use://ForestBlog/src/main/webapp/WEB-INF/view/Home/Page/articleFile.jsp[language=FILE]//html/body/rapid:override/section/main/ul/c:foreach/items[language=HTML]//${articleList}[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Admin/Article/index.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/admin/BackArticleController.java[language=FILE]//BackArticleController/index/return[language=JAVA]//Admin\\/Article\\/index[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Admin/Notice/index.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/admin/BackNoticeController.java[language=FILE]//BackNoticeController/index/return[language=JAVA]//Admin\\/Notice\\/index[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Admin/Notice/edit.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/admin/BackNoticeController.java[language=FILE]//BackNoticeController/editNoticeView/return[language=JAVA]//Admin\\/Notice\\/edit[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Admin/Comment/index.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/admin/BackCommentController.java[language=FILE]//BackCommentController/commentList/return[language=JAVA]//Admin\\/Comment\\/index[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Admin/Article/edit.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/admin/BackArticleController.java[language=FILE]//BackArticleController/editArticleView/return[language=JAVA]//Admin\\/Article\\/edit[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Home/Page/search.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/IndexController.java[language=FILE]//IndexController/search/return[language=JAVA]//Home\\/Page\\/search[language=ANY]
def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/admin/AdminController.java[language=FILE]//AdminController/index/model.addAttribute[language=JAVA]//articleList[language=ANY],use://ForestBlog/src/main/webapp/WEB-INF/view/Admin/index.jsp[language=FILE]//html/body/rapid:override/div/div/div/div/div/div/div/ul/c:foreach/items[language=HTML]//${articleList}[language=ANY]
def://ForestBlog/src/main/webapp/WEB-INF/view/Home/Page/page.jsp[language=FILE],def://ForestBlog/src/main/java/com/liuyanzhao/ssm/blog/controller/home/PageController.java[language=FILE]//PageController/pageDetail/return[language=JAVA]//Home\\/Page\\/page[language=ANY]
