def,use
def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/showPost/model.addAttribute[language=JAVA]//post[language=ANY],use://sagan-site/src/main/resources/templates/blog/show.html[language=FILE]//html/body/div/data-th-object[language=HTML]//${post}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/showProject/model.addAttribute[language=JAVA]//guides[language=ANY],use://sagan-site/src/main/resources/templates/projects/show.html[language=FILE]//html/body/div/div/div/article/div/div/div/div/div/ul/li/data-th-each[language=HTML]//${guides}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java[language=FILE]//ProjectsController/listProjects/model.addAttribute[language=JAVA]//groups[language=ANY],use://sagan-site/src/main/resources/templates/projects/index.html[language=FILE]//html/body/div/div/div/section/ul/li/data-th-each[language=HTML]//${groups}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/team/index.html[language=FILE],def://sagan-site/src/main/java/sagan/site/team/support/TeamController.java[language=FILE]//TeamController/showTeam/return[language=JAVA]//team\\/index[language=ANY]
def://sagan-site/src/main/resources/templates/admin/project/edit-support.html[language=FILE],def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editSupport/return[language=JAVA]//admin\\/project\\/edit-support[language=ANY]
def://sagan-site/src/main/java/sagan/site/team/support/TeamAdminController.java[language=FILE]//TeamAdminController/getTeamAdminPage/model.addAttribute[language=JAVA]//activeMembers[language=ANY],use://sagan-site/src/main/resources/templates/admin/team/index.html[language=FILE]//html/body/div/div/a/data-th-each[language=HTML]//${activeMembers}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/updatePost/model.addAttribute[language=JAVA]//categories[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/edit.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${categories}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/createPost/model.addAttribute[language=JAVA]//categories[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE]//html/body/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${categories}[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/newProject/model.addAttribute[language=JAVA]//statusList[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/new.html[language=FILE]//html/body/div/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${statusList}[language=ANY]
def://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java[language=FILE]//BlogController/renderListOfPosts/model.addAttribute[language=JAVA]//posts[language=ANY],use://sagan-site/src/main/resources/templates/admin/blog/index.html[language=FILE]//html/body/div/div/table/tbody/tr/data-th-each[language=HTML]//${posts}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/blog/new.html[language=FILE],def://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java[language=FILE]//BlogAdminController/createPost/return[language=JAVA]//admin\\/blog\\/new[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editMetadata/model.addAttribute[language=JAVA]//supportPolicies[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/edit-metadata.html[language=FILE]//html/body/div/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${supportPolicies}[language=ANY]
def://sagan-site/src/main/java/sagan/site/guides/TopicalController.java[language=FILE]//TopicalController/viewTutorial/model.addAttribute[language=JAVA]//description[language=ANY],use://sagan-site/src/main/resources/templates/guides/gs/guide.html[language=FILE]//html/head/meta/data-th-content[language=HTML]//${description}[language=ANY]
def://sagan-site/src/main/resources/templates/admin/project/edit-releases.html[language=FILE],def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editReleases/return[language=JAVA]//admin\\/project\\/edit-releases[language=ANY]
def://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java[language=FILE]//ProjectAdminController/editMetadata/model.addAttribute[language=JAVA]//statusList[language=ANY],use://sagan-site/src/main/resources/templates/admin/project/edit-metadata.html[language=FILE]//html/body/div/form/div/div/div/div/div/select/option/data-th-each[language=HTML]//${statusList}[language=ANY]
