HTML,JAVA
use://xbin-store/xbin-store-web-search/target/classes/templates/search.html//html/body/div/div/div/form/input/value//${query},use://xbin-store/xbin-store-web-search/src/main/java/cn/binux/search/controller/SearchController.java//query
use://xbin-store/xbin-store-web-search/target/classes/templates/search.html//html/body/div/div/div/form/input/value//${query},use://xbin-store/xbin-store-web-search/src/main/java/cn/binux/search/controller/SearchController.java//query
use://xbin-store/xbin-store-web-search/target/classes/templates/search.html//html/body/div/div/div/div/div/div/a/href//${query},use://xbin-store/xbin-store-web-search/src/main/java/cn/binux/search/controller/SearchController.java//query
use://xbin-store/xbin-store-web-search/target/classes/templates/search.html//html/body/div/div/div/div/div/div/a/href//${query},use://xbin-store/xbin-store-web-search/src/main/java/cn/binux/search/controller/SearchController.java//query
use://xbin-store/xbin-store-web-admin/target/classes/templates/editlogo.html//html/body/section/div/div/div/div/div/input/id//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/category.html//html/body/div/id//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/category.html//html/body/div/button/onclick//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/category.html//html/body/section/div/div/div/div/table/id//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/editItem.html//html/body/div/div/div/div/div/div/input/id//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/addItem.html//html/body/section/div/div/div/th:attrappend//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/addItem.html//html/body/section/div/div/form/th:attrappend//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/addItem.html//html/body/section/div/div/form/div/div/select/th:attrappend//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/addItem.html//html/body/section/div/div/form/div/div/div/input/th:attrappend//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/addItem.html//html/body/section/div/div/form/div/div/textarea/th:attrappend//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/twoCategory.html//html/body/div/id//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/twoCategory.html//html/body/div/button/onclick//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-admin/target/classes/templates/twoCategory.html//html/body/section/div/div/div/div/table/id//${random},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/AdminController.java//random
use://xbin-store/xbin-store-web-order/target/classes/templates/order.html//html/body/div/div/form/input/value//${orderId},use://xbin-store/xbin-store-web-order/src/main/java/cn/binux/order/controller/OrderController.java//orderId
use://xbin-store/xbin-store-web-order/target/classes/templates/order.html//html/body/div/div/div/div/div/em/value//${totalPrices},use://xbin-store/xbin-store-web-order/src/main/java/cn/binux/order/controller/OrderController.java//totalPrices
use://xbin-store/xbin-store-web-cart/target/classes/templates/cart.html//html/body/div/div/div/div/div/div/div/div/div/div/div/div/span/em/value//${totalPrice},use://xbin-store/xbin-store-web-cart/src/main/java/cn/binux/cart/controller/CartController.java//totalPrice
use://xbin-store/xbin-store-web-sso/target/classes/templates/index.html//html/body/h1/th:text//${host},use://xbin-store/xbin-store-web-admin/src/main/java/cn/binux/admin/controller/HelloController.java//host
use://xbin-store/xbin-store-web-sso/target/classes/templates/register.html//html/body/div/div/div/form/input/value//${uid},use://xbin-store/xbin-store-web-sso/src/main/java/cn/binux/sso/controller/UserController.java//uid
