def,use
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/page/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsPageController.java[language=FILE]//CmsPageController/index/return[language=JAVA]//\\/manage\\/page\\/index.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/user/permission.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsUserController.java[language=FILE]//UpmsUserController/permission/return[language=JAVA]//\\/manage\\/user\\/permission.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/user/organization.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsUserController.java[language=FILE]//UpmsUserController/organization/return[language=JAVA]//\\/manage\\/user\\/organization.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/role/update.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsRoleController.java[language=FILE]//UpmsRoleController/update/return[language=JAVA]//\\/manage\\/role\\/update.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/article/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsArticleController.java[language=FILE]//CmsArticleController/create/return[language=JAVA]//\\/manage\\/article\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/user/create.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsUserController.java[language=FILE]//UpmsUserController/create/return[language=JAVA]//\\/manage\\/user\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/system/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsSystemController.java[language=FILE]//UpmsSystemController/index/return[language=JAVA]//\\/manage\\/system\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/topic/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsTopicController.java[language=FILE]//CmsTopicController/index/return[language=JAVA]//\\/manage\\/topic\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/article/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsArticleController.java[language=FILE]//CmsArticleController/update/return[language=JAVA]//\\/manage\\/article\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/organization/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsOrganizationController.java[language=FILE]//UpmsOrganizationController/index/return[language=JAVA]//\\/manage\\/organization\\/index.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/log/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsLogController.java[language=FILE]//UpmsLogController/index/return[language=JAVA]//\\/manage\\/log\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/category/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsCategoryController.java[language=FILE]//CmsCategoryController/update/return[language=JAVA]//\\/manage\\/category\\/update.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/category/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsCategoryController.java[language=FILE]//CmsCategoryController/index/return[language=JAVA]//\\/manage\\/category\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/menu/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsMenuController.java[language=FILE]//CmsMenuController/create/return[language=JAVA]//\\/manage\\/menu\\/create.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/topic/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsTopicController.java[language=FILE]//CmsTopicController/update/return[language=JAVA]//\\/manage\\/topic\\/update.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/menu/update.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsMenuController.java[language=FILE]//CmsMenuController/update/return[language=JAVA]//\\/manage\\/menu\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/role/permission.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsRoleController.java[language=FILE]//UpmsRoleController/permission/return[language=JAVA]//\\/manage\\/role\\/permission.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/user/index.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsUserController.java[language=FILE]//UpmsUserController/index/return[language=JAVA]//\\/manage\\/user\\/index.jsp[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/comment/index.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsCommentController.java[language=FILE]//CmsCommentController/index/return[language=JAVA]//\\/manage\\/comment\\/index.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/organization/create.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsOrganizationController.java[language=FILE]//UpmsOrganizationController/create/return[language=JAVA]//\\/manage\\/organization\\/create.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/permission/update.jsp[language=FILE],def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/manage/UpmsPermissionController.java[language=FILE]//UpmsPermissionController/update/return[language=JAVA]//\\/manage\\/permission\\/update.jsp[language=ANY]
def://zheng-upms/zheng-upms-server/src/main/java/com/zheng/upms/server/controller/ManageController.java[language=FILE]//ManageController/index/modelMap.put[language=JAVA]//upmsPermissions[language=ANY],use://zheng-upms/zheng-upms-server/src/main/webapp/WEB-INF/jsp/manage/index.jsp[language=FILE]//html/body/section/aside/ul/c:foreach/items[language=HTML]//${upmsPermissions}[language=ANY]
def://zheng-cms/zheng-cms-web/src/main/webapp/resources/index.html[language=FILE],def://zheng-cms/zheng-cms-web/src/main/java/com/zheng/cms/web/controller/IndexController.java[language=FILE]//IndexController/index/return/thymeleaf[language=JAVA]//\\/index[language=ANY]
def://zheng-cms/zheng-cms-admin/src/main/webapp/WEB-INF/jsp/manage/setting/create.jsp[language=FILE],def://zheng-cms/zheng-cms-admin/src/main/java/com/zheng/cms/admin/controller/manage/CmsSettingController.java[language=FILE]//CmsSettingController/create/return[language=JAVA]//\\/manage\\/setting\\/create.jsp[language=ANY]
